Name,Team,Position,Tier,Expert Rank
Jahmyr Gibbs,DET,RB,S,1.25
Bijan Robinson,ATL,RB,S,1.75
Ja'Marr Chase,CIN,WR,S,3.38
Puka Nacua,LAR,WR,A,3.88
Jaxon Smith-Njigba,SEA,WR,A,5.63
Christian McCaffrey,SF,RB,A,6.38
Amon-Ra St. Brown,DET,WR,A,6.63
Jonathan Taylor,IND,RB,A,9.50
CeeDee Lamb,DAL,WR,B,10.00
James Cook,BUF,RB,B,10.50
Justin Jefferson,MIN,WR,B,10.75
Ashton Jeanty,LV,RB,B,11.75
Chase Brown,CIN,RB,B,12.38
Devon Achane,MIA,RB,B,14.00
Omarion Hampton,LAC,RB,B,14.13
Saquon Barkley,PHI,RB,B,15.75
Kenneth Walker,KC,RB,C,16.13
Drake London,ATL,WR,C,18.75
Brock Bowers,LV,TE,C,19.88
Derrick Henry,BAL,RB,C,20.75
A.J. Brown,NE,WR,C,21.75
Nico Collins,HOU,WR,C,22.63
Malik Nabers,NYG,WR,C,22.75
Jeremiyah Love,ARI,RB,C,24.88
Rashee Rice,KC,WR,C,25.00
George Pickens,DAL,WR,C,25.25
Trey McBride,ARI,TE,D,28.38
Breece Hall,NYJ,RB,D,28.50
Chris Olave,NO,WR,D,30.25
DeVonta Smith,PHI,WR,D,30.25
Kyren Williams,LAR,RB,D,31.25
Javonte Williams,DAL,RB,D,33.38
Zay Flowers,BAL,WR,D,33.38
Tee Higgins,CIN,WR,D,33.88
Josh Allen,BUF,QB,D,36.63
Jaylen Waddle,DEN,WR,D,36.75
Emeka Egbuka,TB,WR,D,37.00
Josh Jacobs,GB,RB,E,37.00
Ladd McConkey,LAC,WR,E,38.25
Colston Loveland,CHI,TE,E,40.00
Cam Skattebo,NYG,RB,E,40.75
Tetairoa McMillan,CAR,WR,E,41.50
Garrett Wilson,NYJ,WR,E,41.75
Travis Etienne,NO,RB,E,46.25
Bucky Irving,TB,RB,E,46.38
Davante Adams,LAR,WR,E,47.25
Bhayshul Tuten,JAX,RB,E,48.13
Quinshon Judkins,CLE,RB,E,50.50
David Montgomery,HOU,RB,E,50.63
Terry McLaurin,WAS,WR,E,51.38
Luther Burden,CHI,WR,F,51.38
D'Andre Swift,CHI,RB,F,51.63
Jameson Williams,DET,WR,F,51.63
TreVeyon Henderson,NE,RB,F,54.13
Mike Evans,SF,WR,F,54.63
Lamar Jackson,BAL,QB,F,55.38
Carnell Tate,TEN,WR,F,56.63
Rome Odunze,CHI,WR,F,56.75
Jadarian Price,SEA,RB,F,56.88
Brian Thomas,JAX,WR,F,58.88
Tyler Warren,IND,TE,F,59.25
DJ Moore,BUF,WR,F,60.63
Christian Watson,GB,WR,F,62.63
Marvin Harrison,ARI,WR,F,63.13
Jaylen Warren,PIT,RB,F,66.38
Drake Maye,NE,QB,F,66.88
Jayden Daniels,WAS,QB,F,67.63
Joe Burrow,CIN,QB,F,68.75
Parker Washington,JAX,WR,F,69.88
Jordyn Tyson,NO,WR,F,73.50
Caleb Williams,CHI,QB,F,74.25
Jalen Hurts,PHI,QB,F,75.75
Tucker Kraft,GB,TE,F,77.25
Tony Pollard,TEN,RB,F,77.38
Makai Lemon,PHI,WR,F,77.38
Jonathon Brooks,CAR,RB,F,77.63
Quentin Johnston,LAC,WR,F,81.75
Rhamondre Stevenson,NE,RB,F,81.75
Sam LaPorta,DET,TE,F,82.50
Michael Pittman,PIT,WR,F,83.75
DK Metcalf,PIT,WR,F,84.38
Trevor Lawrence,JAX,QB,F,85.13
Jordan Addison,MIN,WR,F,85.50
Chris Godwin,TB,WR,F,86.63
Alec Pierce,IND,WR,F,86.63
J.K. Dobbins,DEN,RB,F,88.13
Justin Herbert,LAC,QB,F,89.63
RJ Harvey,DEN,RB,F,89.63
Courtland Sutton,DEN,WR,F,91.13
Stefon Diggs,WAS,WR,F,91.25
Rico Dowdle,PIT,RB,F,91.50
Michael Wilson,ARI,WR,F,92.13
Rachaad White,WAS,RB,F,92.38
Dak Prescott,DAL,QB,F,92.88
Chuba Hubbard,CAR,RB,F,93.38
Josh Downs,IND,WR,F,93.75
Kyle Pitts,ATL,TE,F,94.38
Harold Fannin,CLE,TE,F,94.75
Jordan Mason,MIN,RB,F,97.00
Blake Corum,LAR,RB,G,99.25
Kyle Monangai,CHI,RB,G,100.38
Wan'Dale Robinson,TEN,WR,G,101.75
Jaxson Dart,NYG,QB,G,102.00
Brock Purdy,SF,QB,G,102.75
KC Concepcion,CLE,WR,G,105.00
Jayden Reed,GB,WR,G,106.38
Bo Nix,DEN,QB,G,107.38
Jacory Croskey-Merritt,WAS,RB,G,107.38
Patrick Mahomes,KC,QB,G,107.63
Xavier Worthy,KC,WR,G,108.25
George Kittle,SF,TE,G,108.38
Kenneth Gainwell,TB,RB,G,109.63
Matthew Stafford,LAR,QB,G,113.63
Jared Goff,DET,QB,G,114.63
Travis Kelce,KC,TE,G,116.00
Deebo Samuel,SF,WR,G,116.25
Kyler Murray,MIN,QB,G,116.50
Matthew Golden,GB,WR,G,117.00
Aaron Jones,MIN,RB,G,119.38
Jakobi Meyers,JAX,WR,G,119.75
Romeo Doubs,NE,WR,G,121.75
Travis Hunter,JAX,WR,G,122.13
Jalen Coker,CAR,WR,G,123.50
Jayden Higgins,HOU,WR,G,124.50
Jake Ferguson,DAL,TE,G,127.25
Isaiah Likely,NYG,TE,G,129.63
Baker Mayfield,TB,QB,G,129.88
Chris Rodriguez,JAX,RB,G,130.13
Dalton Kincaid,BUF,TE,G,133.00
Mark Andrews,BAL,TE,G,134.25
Tyler Shough,NO,QB,G,134.38
Khalil Shakir,BUF,WR,G,135.88
Tyrone Tracy,NYG,RB,G,136.00
Malik Willis,MIA,QB,G,138.00
Denzel Boston,CLE,WR,G,138.00
Rashid Shaheed,SEA,WR,G,138.25
Jonah Coleman,DEN,RB,G,138.63
Jordan Love,GB,QB,G,139.63
De'Zhaun Stribling,SF,WR,G,139.75
Woody Marks,HOU,RB,G,140.00
Keaton Mitchell,LAC,RB,G,142.25
Dallas Goedert,PHI,TE,G,143.00
Omar Cooper Jr.,NYJ,WR,G,144.25
Jalen McMillan,TB,WR,G,147.13
Tank Bigsby,PHI,RB,G,149.00
Tyler Allgeier,ARI,RB,G,149.13
Chig Okonkwo,WAS,TE,G,151.25
Oronde Gadsden,LAC,TE,G,151.50
Tre Tucker,LV,WR,G,152.38
Brenton Strange,JAX,TE,G,153.13
Isiah Pacheco,DET,RB,G,153.75
C.J. Stroud,HOU,QB,G,157.25
Sam Darnold,SEA,QB,G,159.63
Daniel Jones,IND,QB,G,161.25
Cam Ward,TEN,QB,G,161.25
Hunter Henry,NE,TE,H,161.50
Alvin Kamara,NO,RB,H,162.63
Dylan Sampson,CLE,RB,H,163.88
Kenyon Sadiq,NYJ,TE,H,164.13
Zach Charbonnet,SEA,RB,H,164.63
Jalen Nailor,LV,WR,H,167.38
Bryce Young,CAR,QB,H,167.50
T.J. Hockenson,MIN,TE,H,168.13
Juwan Johnson,NO,TE,H,168.50
Tyjae Spears,TEN,RB,H,168.75
AJ Barner,SEA,TE,H,169.25
Brian Robinson,ATL,RB,H,170.13
Dalton Schultz,HOU,TE,H,173.75
Tre Harris,LAC,WR,H,175.00
Sean Tucker,TB,RB,H,175.43
MarShawn Lloyd,GB,RB,H,176.13
Kaytron Allen,WAS,RB,H,180.38
Antonio Williams,WAS,WR,H,180.75
Nicholas Singleton,TEN,RB,H,180.75
Ryan Flournoy,DAL,WR,H,181.38
Calvin Ridley,TEN,WR,H,182.86
Darnell Mooney,NYG,WR,H,183.86
Malik Washington,MIA,WR,I,184.00
Emmett Johnson,KC,RB,I,185.29
Mike Washington Jr.,LV,RB,I,187.43
Tank Dell,HOU,WR,I,188.25
Jerry Jeudy,CLE,WR,I,188.38
Zachariah Branch,ATL,WR,I,190.25
Jauan Jennings,MIN,WR,I,192.00
Ray Davis,BUF,RB,I,192.50
Chris Brooks,GB,RB,I,193.00
Isaac TeSlaa,DET,WR,I,193.00
Demond Claiborne,MIN,RB,I,193.29
Devin Singletary,NYG,RB,I,194.00
Brashard Smith,KC,RB,I,194.67
Gunnar Helm,TEN,TE,I,194.88
Germie Bernard,PIT,WR,I,195.25
Terrance Ferguson,LAR,TE,I,195.75
Aaron Rodgers,PIT,QB,I,197.63
David Njoku,LAC,TE,I,198.25
Ja'Kobi Lane,BAL,WR,I,198.63
Braelon Allen,NYJ,RB,I,198.75
Kayshon Boutte,NE,WR,I,200.00
Jacoby Brissett,ARI,QB,I,200.13
Jaydon Blue,DAL,RB,I,200.38
Elijah Sarratt,BAL,WR,I,200.88
Chris Bell,MIA,WR,I,201.00
Pat Freiermuth,PIT,TE,I,201.88
Kimani Vidal,LAC,RB,I,202.13
Ollie Gordon II,MIA,RB,I,202.25
Troy Franklin,DEN,WR,I,204.71
Greg Dulcich,MIA,TE,I,205.88
Caleb Douglas,MIA,WR,I,206.00
Cade Otton,TB,TE,I,206.38
Adonai Mitchell,NYJ,WR,I,207.00
Najee Harris,,RB,I,207.00
Eli Stowers,PHI,TE,I,208.29
Dontayvion Wicks,PHI,WR,I,210.71
Ted Hurst,TB,WR,I,211.25
Elic Ayomanor,TEN,WR,I,211.67
Geno Smith,NYJ,QB,I,212.13
George Holani,SEA,RB,I,212.40
Fernando Mendoza,LV,QB,I,212.50
Cyrus Allen,KC,WR,I,212.50
Malachi Fields,NYG,WR,I,212.71
Jordan James,SF,RB,I,213.00
Adam Randall,BAL,RB,I,213.50
Calvin Austin,NYG,WR,I,214.00
Darius Slayton,NYG,WR,I,214.20
Luke McCaffrey,WAS,WR,J,216.00
James Conner,ARI,RB,J,216.86
Jack Bech,LV,WR,J,216.86
Christian Kirk,SF,WR,J,217.00
