Relatório de vínculo com espnId
OK (match exato): 8
Revisar (ambíguo/parcial): 330
Não encontrado/erro: 27

[REVISAR] Jahmyr Gibbs (RB/DET) -> espnId=4429795 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Bijan Robinson (RB/ATL) -> espnId=4430807 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Ja'Marr Chase (WR/CIN) -> espnId=4362628 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Puka Nacua (WR/LAR) -> espnId=4426515 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Jaxon Smith-Njigba (WR/SEA) -> espnId=4430878 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Christian McCaffrey (RB/SF) -> espnId=3117251 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Amon-Ra St. Brown (WR/DET) -> espnId=4374302 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Jonathan Taylor (RB/IND) -> espnId=4242335 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] CeeDee Lamb (WR/DAL) -> espnId=4241389 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Justin Jefferson (WR/MIN) -> espnId=4262921 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] James Cook (RB/BUF) -> espnId=4379399 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Ashton Jeanty (RB/LV) -> espnId=4890973 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Chase Brown (RB/CIN) -> espnId=4362238 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Omarion Hampton (RB/LAC) -> espnId=4685382 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Devon Achane (RB/MIA) -> espnId=4429160 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Saquon Barkley (RB/PHI) -> espnId=3929630 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Kenneth Walker (RB/KC) -> espnId=4567048 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Drake London (WR/ATL) -> espnId=4426502 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Brock Bowers (TE/LV) -> espnId=4432665 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Derrick Henry (RB/BAL) -> espnId=3043078 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] A.J. Brown (WR/NE) -> espnId=4047646 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Nico Collins (WR/HOU) -> espnId=4258173 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Malik Nabers (WR/NYG) -> espnId=4595348 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Jeremiyah Love (RB/ARI) -> espnId=4870808 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Rashee Rice (WR/KC) -> espnId=4428331 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] George Pickens (WR/DAL) -> espnId=4426354 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Trey McBride (TE/ARI) -> espnId=4361307 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Breece Hall (RB/NYJ) -> espnId=4427366 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] DeVonta Smith (WR/PHI) -> espnId=4241478 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Chris Olave (WR/NO) -> espnId=4361370 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Kyren Williams (RB/LAR) -> espnId=4430737 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Javonte Williams (RB/DAL) -> espnId=4361579 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Zay Flowers (WR/BAL) -> espnId=4429615 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Tee Higgins (WR/CIN) -> espnId=4239993 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Josh Allen (QB/BUF) -> espnId=3918298 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Jaylen Waddle (WR/DEN) -> espnId=4372016 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Emeka Egbuka (WR/TB) -> espnId=4567750 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Josh Jacobs (RB/GB) -> espnId=4047365 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Ladd McConkey (WR/LAC) -> espnId=4612826 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Colston Loveland (TE/CHI) -> espnId=4723086 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Cam Skattebo (RB/NYG) -> espnId=4696981 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Tetairoa McMillan (WR/CAR) -> espnId=4685472 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Garrett Wilson (WR/NYJ) -> espnId=4569618 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Travis Etienne (RB/NO) -> espnId=4239996 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Bucky Irving (RB/TB) -> espnId=4596448 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Davante Adams (WR/LAR) -> espnId=16800 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Bhayshul Tuten (RB/JAX) -> espnId=4882093 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] David Montgomery (RB/HOU) -> espnId=4035538 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Terry McLaurin (WR/WAS) -> espnId=3121422 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] D'Andre Swift (RB/CHI) -> espnId=4259545 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Jameson Williams (WR/DET) -> espnId=4426388 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Quinshon Judkins (RB/CLE) -> espnId=4685702 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Luther Burden (WR/CHI) -> espnId=4685278 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] TreVeyon Henderson (RB/NE) -> espnId=4432710 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Mike Evans (WR/SF) -> espnId=16737 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Lamar Jackson (QB/BAL) -> espnId=4034849 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Carnell Tate (WR/TEN) -> espnId=4871023 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Jadarian Price (RB/SEA) -> espnId=4685512 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Rome Odunze (WR/CHI) -> espnId=4431299 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Brian Thomas (WR/JAX) -> espnId=4432773 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Tyler Warren (TE/IND) -> espnId=4431459 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] DJ Moore (WR/BUF) -> espnId=3915416 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Christian Watson (WR/GB) -> espnId=4248528 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Marvin Harrison (WR/ARI) -> espnId=4432708 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Jordyn Tyson (WR/NO) -> espnId=4880281 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Drake Maye (QB/NE) -> espnId=4431452 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Jayden Daniels (QB/WAS) -> espnId=4426348 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Joe Burrow (QB/CIN) -> espnId=3915511 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Jaylen Warren (RB/PIT) -> espnId=4569987 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Parker Washington (WR/JAX) -> espnId=4432620 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Caleb Williams (QB/CHI) -> espnId=4431611 | motivo: fallback-primeiro-resultado(revisar)
[REVISAR] Jalen Hurts (QB/PHI) -> espnId=4040715 | motivo: fallback-primeiro-resultado(revisar)
